./client_with_asio/client_with_asio 2359 120.26.200.117 12333 500 2>/dev/null

10:51.11 75:1	76:1	69:1	71:1	69:1	68:1	69:1	72:1	72:2	77:2	max:77 avrg10:71 ext_packet_snd:237% ext_size_snd:138%
10:51.11 68:1	82:2	78:2	67:1	66:1	83:2	76:1	78:1	76:1	71:1	max:83 avrg10:74
10:51.12 71:1	70:1	70:1	69:1	68:1	78:2	67:1	81:1	73:1	73:1	max:81 avrg10:72
10:51.12 85:2	66:1	72:1	71:1	73:1	75:1	71:1	77:1	71:1	78:1	max:85 avrg10:73
10:51.13 73:1	72:1	76:1	72:1	76:1	69:1	74:1	70:1	69:1	68:1	max:76 avrg10:71
10:51.13 76:2	68:1	80:2	67:1	77:1	72:1	71:1	72:1	71:1	72:1	max:80 avrg10:72
10:51.14 71:1	77:1	70:2	69:1	70:1	70:1	70:1	70:2	72:1	77:2	max:77 avrg10:71
10:51.14 74:1	73:1	72:1	67:1	80:2	107:2	73:1	76:1	70:1	78:1	max:107 avrg10:77
10:51.15 75:1	81:1	69:1	74:1	69:1	79:1	83:2	82:1	88:1	93:1	max:93 avrg10:79
10:51.15 184:3	176:1	212:3	181:1	195:3	152:1	132:1	103:1	77:1	84:2	max:212 avrg10:149 max100:212 avrg100:81 avrgall:81
10:51.16 84:2	86:1	77:1	86:1	293:6	286:2	248:2	198:2	186:0	153:3	max:293 avrg10:169 ext_packet_snd:238% ext_size_snd:138%
10:51.17 145:1	114:1	83:1	108:1	112:1	144:2	122:1	248:4	202:1	174:1	max:248 avrg10:145
10:51.17 130:0	106:1	312:5	305:1	257:1	380:1	380:1	399:1	373:3	324:2	max:399 avrg10:296 9.6KB/s(in)
10:51.18 282:2	256:3	292:3	244:1	196:1	168:1	273:3	245:2	231:1	193:1	max:292 avrg10:238
10:51.18 188:1	160:1	141:1	121:1	137:1	282:5	260:1	241:1	210:1	163:1	max:282 avrg10:190
10:51.19 138:0	93:1	129:1	129:1	99:1	564:7	597:1	572:1	525:1	503:1	max:597 avrg10:334
10:51.19 487:1	445:2	400:3	380:3	356:1	362:1	486:3	460:1	444:1	504:6	max:504 avrg10:432
10:51.20 454:1	405:2	354:3	303:1	362:1	327:4	292:1	305:1	262:1	234:2	max:454 avrg10:329
10:51.20 286:1	242:1	379:4	373:0	405:1	354:2	331:3	343:3	356:3	319:1	max:405 avrg10:338
10:51.21 291:1	295:1	269:0	268:2	231:0	195:1	249:4	230:1	225:1	204:1	max:295 avrg10:245 max100:597 avrg100:272 avrgall:100
10:51.21 279:1	302:3	252:1	225:3	200:1	197:1	167:1	202:3	182:1	153:1	max:302 avrg10:215 ext_packet_snd:238% ext_size_snd:145%
10:51.22 126:1	111:1	72:1	160:2	157:3	139:1	89:1	172:3	132:1	94:1	max:172 avrg10:125
10:51.22 77:1	75:1	71:1	74:1	156:3	124:2	95:1	72:1	76:2	206:4	max:206 avrg10:102
10:51.23 182:2	155:2	145:2	94:2	76:1	88:1	102:2	74:1	80:1	172:3	max:182 avrg10:116
10:51.23 150:1	140:0	170:3	139:1	119:0	92:1	69:1	67:1	70:1	71:2	max:170 avrg10:108
10:51.24 75:2	70:2	71:2	70:1	75:1	70:1	73:1	76:2	67:1	72:1	max:76 avrg10:71
10:51.24 72:1	72:1	73:2	77:2	103:2	82:1	72:1	78:1	67:1	78:1	max:103 avrg10:77
10:51.25 68:1	72:1	67:1	73:1	72:1	72:1	71:2	71:1	75:2	75:2	max:75 avrg10:71
10:51.25 71:1	75:1	69:1	69:1	72:2	73:1	68:1	73:1	73:1	70:2	max:75 avrg10:71
10:51.26 72:1	70:2	77:2	78:2	79:2	152:3	127:1	77:1	83:1	157:2	max:157 avrg10:97 max100:302 avrg100:105 avrgall:100
10:51.26 162:3	121:1	78:1	71:1	70:1	71:1	70:1	75:1	70:2	70:1	max:162 avrg10:85 ext_packet_snd:240% ext_size_snd:146%
10:51.27 69:1	69:1	70:2	73:2	75:2	69:1	67:1	74:1	147:3	126:1	max:147 avrg10:83
10:51.27 91:1	74:1	68:1	83:2	73:1	76:1	73:1	77:1	67:1	74:1	max:91 avrg10:75
10:51.28 72:1	76:1	71:1	67:1	72:1	71:1	73:1	72:1	73:1	73:1	max:76 avrg10:72
10:51.28 70:1	71:1	70:1	74:1	75:1	70:1	69:1	77:1	73:1	147:3	max:147 avrg10:79
10:51.29 119:1	89:1	67:1	157:3	122:1	94:1	77:1	71:1	70:1	85:2	max:157 avrg10:95
10:51.29 70:1	69:1	69:1	76:1	76:1	67:1	121:2	77:2	91:2	75:1	max:121 avrg10:79
10:51.30 71:1	70:1	70:1	76:1	75:1	73:1	75:1	71:1	69:1	73:1	max:76 avrg10:72
10:51.30 75:1	74:1	67:1	73:1	73:2	72:2	74:2	72:1	76:2	72:2	max:76 avrg10:72
10:51.31 73:1	73:1	74:2	80:2	71:1	70:1	76:1	70:1	70:1	76:2	max:80 avrg10:73 max100:162 avrg100:78 avrgall:99
10:51.31 74:1	75:1	78:1	79:2	83:2	123:2	76:1	76:1	72:1	68:1	max:123 avrg10:80 ext_packet_snd:241% ext_size_snd:145%
10:51.32 68:1	67:1	77:1	72:1	71:1	71:1	72:1	70:1	72:1	69:1	max:77 avrg10:70
10:51.32 75:1	76:2	75:2	70:1	69:1	73:1	76:2	73:1	73:1	82:2	max:82 avrg10:74 10KB/s(in)
10:51.33 68:1	71:1	71:1	70:1	70:1	69:1	78:1	75:1	76:1	145:3	max:145 avrg10:79
10:51.33 125:1	90:1	80:2	71:1	68:1	89:2	117:2	82:1	83:1	75:1	max:125 avrg10:88
10:51.34 72:1	72:1	72:1	71:1	67:1	72:1	72:1	77:1	72:1	71:1	max:77 avrg10:71
